Date,Num1,Num2,Num3,Num4,Num5,Num6,Addl
25/12/22,2,19,32,50,52,55,55
24/12/22,8,10,17,20,46,55,
21/12/22,15,21,47,49,51,53,
20/12/22,14,25,40,45,48,54,
18/12/22,7,18,23,28,32,52,18
17/12/22,1,18,34,43,47,54,43
14/12/22,16,30,37,43,49,50,
11/12/22,11,15,20,31,42,44,11
10/12/22,5,7,11,19,23,45,19
07/12/22,9,15,19,32,38,39,
06/12/22,7,20,24,49,51,54,7
04/12/22,7,12,17,19,26,29,
03/12/22,5,14,24,31,40,44,
30/11/22,3,15,16,28,34,37,15
29/11/22,9,13,15,19,27,48,9
27/11/22,1,9,20,21,33,35,20
26/11/22,3,5,16,17,20,53,5
23/11/22,5,8,13,26,41,43,
22/11/22,18,20,23,31,46,48,48
20/11/22,16,34,38,48,52,54,
19/11/22,10,14,21,23,26,28,
16/11/22,3,7,12,22,37,52,"3,7"
15/11/22,3,7,14,38,44,47,
13/11/22,2,10,15,25,29,39,
12/11/22,1,9,30,41,47,54,
09/11/22,4,17,32,36,49,51,
06/11/22,8,14,16,31,39,43,8
05/11/22,8,13,27,35,45,50,"13,35"
02/11/22,4,13,14,35,54,55,
30/10/22,23,24,44,45,50,52,52
29/10/22,2,12,31,36,43,52,"36,43,52"
26/10/22,10,21,36,43,52,55,21
25/10/22,4,9,16,21,34,54,54
23/10/22,20,27,32,40,43,54,54
22/10/22,8,12,23,28,33,54,"8,28"
19/10/22,5,8,15,28,30,43,
18/10/22,17,24,39,40,47,54,"17,47"
16/10/22,11,12,17,18,31,47,11
15/10/22,8,11,38,41,48,54,
12/10/22,17,18,26,34,36,49,36
09/10/22,5,25,31,36,51,54,
08/10/22,4,17,19,46,47,49,
05/10/22,14,33,37,42,45,54,14
02/10/22,5,14,18,26,39,46,14
01/10/22,1,6,14,24,29,55,
28/09/22,37,39,42,46,47,51,
27/09/22,2,15,19,22,49,53,15
25/09/22,1,15,17,20,41,55,20
24/09/22,8,20,23,42,44,49,44
21/09/22,24,25,27,41,43,44,
18/09/22,16,23,31,36,37,53,16
17/09/22,6,10,13,16,18,49,18
14/09/22,18,23,27,31,41,46,31
11/09/22,7,13,24,31,36,39,
10/09/22,4,6,10,17,26,41,10
07/09/22,10,23,30,31,34,43,
06/09/22,1,11,20,33,37,52,
04/09/22,4,5,34,38,42,44,4
03/09/22,1,4,7,8,22,29,
31/08/22,20,24,31,37,40,49,20
28/08/22,18,20,22,27,36,54,"22,27"
27/08/22,1,4,22,27,48,51,1
24/08/22,1,2,5,14,26,54,
21/08/22,32,33,45,50,52,53,
20/08/22,6,7,9,16,31,42,
17/08/22,4,20,24,32,41,55,
16/08/22,6,26,28,35,37,47,6
14/08/22,6,7,16,20,45,50,16
13/08/22,12,15,16,34,35,49,49
10/08/22,5,9,30,36,49,55,
09/08/22,1,3,7,13,35,43,
07/08/22,2,15,39,40,42,48,
06/08/22,1,17,22,23,31,49,"22,23"
03/08/22,3,5,22,23,29,35,"22,29"
02/08/22,6,8,12,22,29,46,
31/07/22,2,3,18,25,36,52,
30/07/22,17,24,30,37,38,45,"24,37"
27/07/22,4,24,29,32,37,50,"32,37"
